team_id,variable,first_downs,first_downs_by_penalty,third_down_percentage,fourth_down_percentage,average_interception_yards,average_kickoff_return_yards,average_punt_return_yards,interceptions,net_average_punt_yards,net_passing_yards,net_passing_yards_per_game,passing_first_downs,passing_touchdowns,rushing_first_downs,rushing_attempts,rushing_touchdowns,rushing_yards,rushing_yards_per_game,total_offensive_plays,total_points,total_points_per_game,total_touchdowns,total_offensive_yards,yards_per_game,yards_per_pass_attempt,yards_per_rush_attempt,completed_passes,attempted_passes,field_goals_completed,field_goals_attempted,total_fumbles,defensive_interception,yards_after_interception,total_kickoffs_received,yards_off_kickoff_received,total_punts_received,yards_off_punts_received,total_punts_kicked,total_punt_yards,total_defensive_sacks,yards_lost_from_sacks,total_penalties,total_yards_penalized
78,Miami (OH),216,20,33.17,33.33,19.9,21.5,13.6,10,37.2,2495,178.2,100,11,96,533,22,1833,130.9,901,338,24.1,37,4328,309.1,7.4,3.4,183,337,26,30,31,11,219,41,881,23,313,77,3291,31,183,80,683
79,Northern Illinois,221,16,32.02,52.17,25.8,11.8,5.5,11,39.5,2611,217.6,114,14,91,454,15,1693,141.1,848,286,23.8,35,4304,358.7,7.1,3.7,215,370,14,18,19,4,103,12,141,15,83,70,2949,24,184,62,539
80,Ohio,296,22,49.41,55.56,4.6,22.9,5.3,6,37,2866,220.5,126,21,148,526,36,2883,221.8,882,446,34.3,57,5749,442.2,8.6,5.5,203,335,16,20,33,5,23,35,803,29,154,50,2043,21,150,70,627
81,Toledo,261,19,38.01,58.07,7.7,20.8,7.7,7,38.7,2515,209.6,116,15,126,517,27,2694,224.5,885,327,27.3,42,5209,434.1,7.4,5.2,193,339,11,16,23,7,54,46,957,20,154,55,2350,29,173,67,608
82,Western Michigan,288,23,45.26,57.14,16.9,24.5,2,8,37,3128,240.6,132,21,133,503,35,2666,205.1,934,430,33.1,58,5794,445.7,7.6,5.3,246,413,10,17,27,13,220,36,882,14,47,52,2200,18,122,82,759
83,Air Force,286,7,53.5,76.19,34.3,13.3,1.2,6,37.3,1602,123.2,52,14,227,755,41,3881,298.5,885,441,33.9,58,5483,421.8,12.7,5.1,68,126,13,13,43,7,240,7,93,5,6,31,1253,4,22,42,368
84,Boise State,318,23,47.5,58.82,8.7,21.7,12,11,36.7,3664,261.7,159,31,136,529,27,2342,167.3,1020,486,34.7,63,6006,429,7.9,4.4,287,464,15,19,25,10,87,38,826,25,301,56,2200,27,167,76,695
85,Colorado State,257,21,39.65,52.38,17.5,24.6,6.8,11,42.4,3660,305,157,21,79,395,18,1586,132.2,867,337,28.1,42,5246,437.2,8.2,4,279,445,14,24,21,6,105,24,591,21,142,49,2274,27,180,80,782
86,Fresno State,232,23,37.16,46.15,15,19.6,13.3,11,40,2721,226.8,122,17,87,394,27,1911,159.3,790,360,30,46,4632,386,7.3,4.9,241,373,12,21,15,11,165,34,667,9,120,52,2209,23,158,74,599
87,Hawai'i,367,19,47.06,60.61,23.1,22.3,4.9,17,36.1,5056,337.1,223,42,125,421,21,2009,133.9,1083,508,33.9,68,7065,471,8,4.8,396,635,10,17,29,14,323,49,1092,21,102,42,1743,27,173,103,918
88,Nevada,251,17,36.72,58.33,7.7,19.5,9.7,13,36.8,3246,249.7,144,14,90,446,16,1503,115.6,979,277,21.3,31,4749,365.3,6.5,3.4,310,500,21,25,26,11,85,33,645,19,184,72,2953,33,220,96,772
89,New Mexico,245,27,36.69,37.5,17.8,24.1,6.1,15,42.1,2340,195,103,13,115,501,20,2463,205.3,850,267,22.3,34,4803,400.3,7.1,4.9,163,331,12,16,21,4,71,26,627,24,147,60,2738,18,109,81,729
90,San Diego State,259,18,38.16,56.52,3.2,22.9,6.7,6,40.3,2634,202.6,128,15,113,536,12,1827,140.5,954,276,21.2,30,4461,343.2,6.6,3.4,253,397,22,26,38,18,58,22,503,27,181,74,3347,21,163,78,655
91,San Jose State,258,25,40.88,43.75,7.3,19.7,4.8,8,35.6,4056,338,171,24,62,307,19,1073,89.4,819,361,30.1,43,5129,427.4,8.1,3.5,305,498,20,24,13,16,116,25,492,10,48,47,1867,14,107,74,608
92,UNLV,232,22,28.4,51.52,10.6,16.8,2.5,12,33.9,2474,206.2,98,20,112,443,17,2018,168.2,860,290,24.2,37,4492,374.3,6.4,4.6,208,388,11,14,17,9,95,27,454,20,49,68,2890,29,169,65,536
93,Utah State,289,19,42.64,33.33,14.6,21.9,11.5,18,35.6,3628,279.1,156,22,114,461,18,1979,152.2,988,380,29.2,45,5607,431.3,7.2,4.3,315,504,21,24,27,11,161,34,745,12,138,70,2760,23,123,74,615
94,Wyoming,230,20,43.09,54.55,16.6,27.7,10.8,9,37.8,1770,136.2,82,11,128,575,27,2792,214.8,852,330,25.4,41,4562,350.9,6.9,4.9,120,256,15,22,33,12,199,11,305,34,366,68,2816,21,142,67,634
95,Arizona State,233,20,38.5,56.25,8.7,26.3,13,4,41.6,3235,248.8,125,21,88,459,13,1602,123.2,875,322,24.8,36,4837,372.1,8.4,3.5,233,383,23,27,28,13,113,23,606,19,247,67,3082,33,182,85,818
96,Arizona,270,20,44.09,65,11.7,21.1,6.4,12,34.5,3193,266.1,139,23,111,451,19,2088,174,906,323,26.9,42,5281,440.1,7.6,4.6,261,422,10,17,10,11,129,34,716,14,89,59,2290,33,191,76,677
